Category,Anomaly_Index
PROTECTIVE_GLOVE,55.646333976723724
FLAVORED_DRINK_CONCENTRATE,35.73156728231175
TOILET_PAPER,35.00694406529029
SKIN_CLEANING_AGENT,34.86967860243176
DISHWASHER_DETERGENT,32.86637869329089
HERB,31.997302122855448
PET_FOOD,29.339449311686607
VITAMIN,27.47810803241209
COFFEE,25.381051276654286
SAUCE,24.6007221710278
FRUIT_SNACK,24.589897525694525
SKIN_CLEANING_WIPE,24.392843226467296
WASTE_BAG,23.915120969130918
PAPER_TOWEL,23.713202013775646
CRACKER,23.158148373716465
NUT_AND_SEED,23.091423249573023
TEA,22.584058995785668
NOODLE,22.324734828275332
PACKAGED_SOUP_AND_STEW,22.17324198882969
LAUNDRY_DETERGENT,22.122358657381582
HERBAL_SUPPLEMENT,21.871960905551553
SNACK_CHIP_AND_CRISP,21.502628490399005
INKJET_PRINTER_INK,21.27124598524113
PHYSICAL_VIDEO_GAME_SOFTWARE,21.224005372792522
HAIR_COLORING_AGENT,21.109397086640215
CLEANING_AGENT,21.04118211836541
GROCERY,20.749558331807012
TOYS_AND_GAMES,20.72264170287788
PUZZLES,20.422454229662343
BOARD_GAME,17.394151590789804
WATER,16.62281388159319
KEYBOARDS,16.532224672622757
MOUTHWASH,16.109050367493708
AREA_DEODORIZER,16.03760644310175
ABIS_BOOK,15.83831023367969
PROTEIN_SUPPLEMENT_POWDER,14.473097519679586
ANIMAL_LITTER,14.089023674899614
SKIN_MOISTURIZER,13.64409044447153
DRINK_FLAVORED,13.509799861680152
SNACK_FOOD_BAR,13.50149917450567
CHAIR,12.706253361602311
BAKING_PAN,11.87627107869701
HAIR_STYLING_AGENT,11.776700065147109
BATTERY,11.720373954799815
TABLETOP_GAME,11.615434419178907
MINERAL_SUPPLEMENT,11.609658190916111
MEDICATION,11.168663294870486
DRINKING_CUP,10.940439003367473
BED_LINEN_SET,10.927357275313023
INCONTINENCE_PROTECTOR,10.619357219035214
COOKIE,10.605416470988457
POTABLE_WATER_FILTER,10.472366811542662
BODY_LUBRICANT,10.313136096261598
PET_SUPPLIES,10.132919135281426
KITCHEN,9.947759242740958
NUTRITIONAL_SUPPLEMENT,9.932290107686471
BREAKFAST_CEREAL,9.555838360932285
SPORTING_GOODS,9.510161565261063
OFFICE_PRODUCTS,9.454790177108142
SHAMPOO,9.13309748985412
