Category,Anomaly_Index
PROTECTIVE_GLOVE,56.01204638619007
TOILET_PAPER,37.08400013518434
FLAVORED_DRINK_CONCENTRATE,36.27423226005364
SKIN_CLEANING_AGENT,35.134656142285074
HERB,34.03985778981487
DISHWASHER_DETERGENT,33.34989028405799
VITAMIN,28.45361251824717
PET_FOOD,28.12608611152349
PACKAGED_SOUP_AND_STEW,27.72508293168075
FRUIT_SNACK,26.53719906267354
WASTE_BAG,24.646147823427135
PAPER_TOWEL,24.129677152370128
COFFEE,23.83889765423529
SNACK_CHIP_AND_CRISP,23.81954065236189
NOODLE,23.578466608994443
SAUCE,23.16456987672095
CRACKER,23.069803120136307
NUT_AND_SEED,22.75005951610636
SKIN_CLEANING_WIPE,22.34777353865694
PUZZLES,22.238790724956186
TEA,22.06083116633571
GROCERY,21.8250308841194
DOWNLOADABLE_VIDEO_GAME,21.51065014680212
LAUNDRY_DETERGENT,21.466575706560185
HERBAL_SUPPLEMENT,21.427239876730674
HAIR_COLORING_AGENT,21.35797692592522
CLEANING_AGENT,20.952322714786323
INKJET_PRINTER_INK,20.535989841545895
PHYSICAL_VIDEO_GAME_SOFTWARE,20.52258533715738
TOYS_AND_GAMES,19.983000461765975
KEYBOARDS,19.67709721071877
AREA_DEODORIZER,17.046968701687252
MOUTHWASH,16.822650844624604
WATER,16.129852037389718
INCONTINENCE_PROTECTOR,16.06932736958863
CHAIR,15.814377090618235
DRINK_FLAVORED,15.735457917616786
SNACK_FOOD_BAR,15.511534227577815
ANIMAL_LITTER,15.307018313574375
BED_LINEN_SET,15.162052421855623
BOARD_GAME,14.933368296428197
SKIN_MOISTURIZER,14.673390249243662
ABIS_BOOK,14.01414268620356
PROTEIN_SUPPLEMENT_POWDER,13.966832866838981
TABLETOP_GAME,12.888133626113282
HAIR_STYLING_AGENT,12.755257780762339
BAKING_PAN,12.192413410799414
BODY_LUBRICANT,11.876135382027062
PLANT_SEED,11.660075348687764
SHAMPOO,11.313121047444831
PET_SUPPLIES,11.19484968103279
COOKIE,11.090391145938714
KITCHEN,11.028827380759314
CHOCOLATE_CANDY,10.734313238715943
BREAKFAST_CEREAL,10.545397530100228
MINERAL_SUPPLEMENT,10.4603143650292
VEGETABLE,10.093412788285153
POTABLE_WATER_FILTER,10.03759019230578
SCISSORS,9.686698384233095
DRINKING_CUP,9.648869356465593
SPORTING_GOODS,9.392307197289014
BRACELET,8.966433681911804
SUNGLASSES,8.883182556889217
OFFICE_PRODUCTS,8.81731474272912
ASTRINGENT_SUBSTANCE,8.467072414826495
CLEANING_BRUSH,8.464142834917526
WRITING_INSTRUMENT,8.462915033804524
FOOD,8.409413217216251
BATTERY,8.381894358299622
NUTRITIONAL_SUPPLEMENT,8.235674743927088
PET_BED_MAT,8.079270496293061
TOY_BUILDING_BLOCK,8.054202484831636
TOY_FIGURE,7.9987299851937355
LIP_BALM,7.987483751331116
UTILITY_SPONGE,7.937101065792003
MEDICATION,7.7235545426214465
MEAT,7.562362389899934
HEALTH_PERSONAL_CARE,7.317254275700908
PET_PEST_CONTROL,7.040524927189313
MANUAL_SHAVING_RAZOR,7.028707964915079
ART_SUPPLIES,6.992582365341027
MEDICAL_TEST_STRIP,6.966857229441911
EDIBLE_OIL_VEGETABLE,6.927709875112054
MARKING_PEN,6.811762184115183
UNDERPANTS,6.661088552422426
BODY_DEODORANT,6.641153086718713
TOOLS,6.587655847383172
SHELF,6.4045133325671655
PET_TOY,6.366969425919687
HOME,5.867107617952906
ART_CRAFT_KIT,5.734396825716949
STORAGE_RACK,5.587709282937692
NETWORK_INTERFACE_CONTROLLER_ADAPTER,5.231343806618545
INPUT_MOUSE,5.101725428516341
ORTHOPEDIC_BRACE,5.000379687967744
PAJAMAS,4.843051782051219
WEIGH_SCALE,4.598568342205129
BRA,4.500848845618767
HARDWARE_HANDLE,4.494790126104083
JUICE_AND_JUICE_DRINK,4.417745542301331
FLASH_MEMORY,4.400271629017057
SWIMWEAR,4.35012136009651
ELECTRIC_SHAVER,4.33693509004641
OUTDOOR_LIVING,4.272857399632692
SHORTS,4.256044756287467
POWER_STRIP,4.149588794648436
BLANKET,4.121848689479926
SLIPPER,4.031642172815662
PILLOW,3.7376564462090447
ESSENTIAL_OIL,3.7107047758650302
RUG,3.6527373666701957
SANDAL,3.494232610081189
OUTDOOR_RECREATION_PRODUCT,3.481052082332903
SKIN_FOUNDATION_CONCEALER,3.439279046614285
LOCK,3.4324720386151357
AUTO_PART,3.3833666555087767
SUGAR_SUBSTITUTE,3.3410152755615865
WIG,3.327844814288846
NON_RIDING_TOY_VEHICLE,3.1049572738914266
REMOTE_CONTROL,3.0619198186391277
GIFT_CARD,3.0257734073953397
THERMOMETER,2.980592102603159
BABY_PRODUCT,2.971529762651119
SPEAKERS,2.9499311110247017
SWEATSHIRT,2.912832462228541
ELECTRIC_FAN,2.7429418400395367
AUTO_ACCESSORY,2.740592269533215
STORAGE_BAG,2.6461539919820445
ANIMAL_NUTRITIONAL_SUPPLEMENT,2.580297004500513
SURFACE_CLEANING_WIPE,2.5342155134330957
ABIS_MUSIC,2.4510096320596864
WATCH_BAND,2.4218125562457957
HARDWARE_TUBING,2.4001798452633873
TOOTHBRUSH,2.3156056790890664
HAIR_TIE,2.235816841922866
FLASH_DRIVE,2.056428020481018
